# imager version 0.1.3
# file:raymond2007_fig2_13.png
# rotation: 0
# x axis device: 0.118207804910955 0.976275802752294
# x axis user: 0 0.4
# y axis device: 0.113025638389912 0.970322685649182
# y axis user: 0 250000
i,devicex,devicey,strain,stress
  1,     0.124,     0.117,          0.00251572,             1157.41
  2,     0.175,     0.157,           0.0264151,             12731.5
  3,     0.226,     0.188,           0.0503145,             21990.7
  4,     0.275,     0.228,            0.072956,             33564.8
  5,     0.333,     0.272,                 0.1,             46296.3
  6,     0.396,     0.325,             0.12956,             61921.3
  7,     0.439,     0.367,            0.149686,             74074.1
  8,     0.491,     0.415,            0.173585,               87963
  9,     0.549,     0.474,            0.200629,              105324
 10,     0.603,     0.532,            0.225786,              122106
 11,     0.655,     0.591,            0.250314,              139468
 12,     0.716,     0.673,            0.278616,              163194
 13,     0.763,     0.730,            0.300629,              179977
 14,     0.818,     0.808,            0.326415,              202546
 15,     0.868,     0.891,            0.349686,              226852
